driverId,lap,stop,time,duration
ricciardo,5,1,15:10:25,18.265
albon,6,1,15:11:45,17.755
zhou,6,1,15:11:49,19.032
hamilton,7,1,15:13:04,17.596
kevin_magnussen,7,1,15:13:08,18.301
russell,8,1,15:14:23,18.046
stroll,8,1,15:14:26,17.901
bottas,8,1,15:14:30,46.969
leclerc,9,1,15:15:42,17.409
piastri,9,1,15:15:43,17.573
tsunoda,9,1,15:15:50,18.523
ocon,9,1,15:15:55,18.287
norris,14,1,15:22:37,17.776
perez,14,1,15:22:45,18.112
sainz,16,1,15:25:14,17.599
ocon,16,2,15:25:58,30.626
alonso,17,1,15:27:06,18.160
hulkenberg,17,1,15:27:28,18.320
gasly,17,1,15:27:32,20.316
albon,27,2,15:41:35,17.745
ricciardo,29,2,15:44:29,17.751
kevin_magnussen,33,2,15:49:58,18.151
leclerc,34,2,15:50:35,17.308
perez,35,2,15:52:18,17.222
hulkenberg,35,2,15:52:40,18.145
zhou,35,2,15:52:50,36.866
tsunoda,36,2,15:53:59,17.535
bottas,36,2,15:54:30,18.938
stroll,37,2,15:55:19,17.977
piastri,39,2,15:57:32,18.533
