Year,Driver,Team,Lap Time,Lap Time (s)
2010,Sebastian Vettel,Red Bull,1:23.919,83.919
2011,Felipe Massa,Ferrari,1:28.947,88.947
2012,Jenson Button,McLaren,1:29.187,89.187
2013,Kimi Räikkönen,Lotus,1:29.274,89.274
2014,Nico Rosberg,Mercedes,1:32.478,92.47800000000001
2015,Lewis Hamilton,Mercedes,1:30.945,90.945
2016,Nico Rosberg,Mercedes,1:28.997,88.997
2017,Kimi Räikkönen,Ferrari,1:26.538,86.538
2018,Daniel Ricciardo,Red Bull,1:25.945,85.945
2019,Valtteri Bottas,Mercedes,1:25.580,85.58
2022,Charles Leclerc,Ferrari,1:20.260,80.26
2023,Sergio Pérez,Red Bull,1:20.235,80.235
2024,Max Verstappen,Red Bull,1:19.870,79.87
