position,positionText,points,wins,Constructor.constructorId,Constructor.url,Constructor.name,Constructor.nationality
1,1,666,6,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
2,2,652,5,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
3,3,589,9,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
4,4,468,4,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
5,5,94,0,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
6,6,65,0,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
7,7,58,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
8,8,46,0,rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team,RB F1 Team,Italian
9,9,17,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
10,10,4,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
